island,site,transect,status,CCA,SOC,MA,TF,RUB,SD,OTH,ACRA,ACRO,ACRT,POCB,STYB,SERB,PORB,HCB,PORM,ISOS,HCM,HCE,HCP,FUN,Other
Salisi Besar,SBD3,1,degraded,0.919963201,0,0,9.015639374,60.7175713,18.85924563,0.919963201,0,0,0,0,0,1.471941122,0,0,2.299908004,2.575896964,2.759889604,0.18399264,0,0.27598896,2.575896964
Salisi Besar,SBD3,2,degraded,0,0,0,15.12151215,64.08640864,11.70117012,0.450045005,0,0.450045005,0,0,0,0,0,0,1.98019802,0,3.96039604,0.630063006,0,0,0
Salisi Besar,SBD3,3,degraded,0,0,0,17.22846442,59.45692884,17.32209738,0,0,0.842696629,0,0,0,0,0,0,5.149812734,0,0,0,0,0,0
Salisi Besar,SBD3,4,degraded,0,0,0,24.72826087,62.95289855,9.057971014,0.452898551,0,0,0,0,0,0.543478261,0,0,1.630434783,0,0,0.362318841,0,0,0
Salisi Besar,SBD2,1,degraded,0,0,0,20.27149321,40.7239819,37.46606335,0,0,0,0,0,0,0,0,0,0.452488688,0,0,1.085972851,0,0,0
Salisi Besar,SBD2,2,degraded,0,0,0,33.42105263,40.87719298,21.40350877,0.263157895,0,0,2.01754386,0,0,0,0,0,2.01754386,0,0,0,0,0,0
Salisi Besar,SBD2,3,degraded,0,0,0,11.36363636,59.98023715,28.65612648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisi Besar,SBD2,4,degraded,0,0,0,0,58.64811133,40.7554672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisi Besar,SBD1,1,degraded,0,0,0,74.25847458,78.28389831,9.639830508,0,0,0.211864407,0,0,0,0,0,0,1.483050847,0,0,0,0,0,0
Salisi Besar,SBD1,2,degraded,0,0,0,42.98245614,61.50097466,25.3411306,0,0,0,0,0,0,0,0,0,1.26705653,0,3.996101365,0,0,0,0
Salisi Besar,SBD1,3,degraded,0,0,0,33.55834137,54.29122469,18.32208293,0,0,0,0,0,0.578592093,0,0,0,0,0,0,0,0,0,0
Salisi Besar,SBD1,4,degraded,0,0,0,9.230769231,32.11538462,54.13461538,0,0,0,0,0,0,0,0,0,0.288461538,1.538461538,0,0.384615385,0,0,1.538461538
Salisi Besar,SBRN1,1,0,0,0,0,9.070464768,55.47226387,4.497751124,4.197901049,0,10.34482759,0,0,0,0.374812594,0,1.1994003,0.374812594,0,6.221889055,7.72113943,0,0,0
Salisi Besar,SBRN1,2,0,0,1.821862348,0.809716599,22.40215924,46.62618084,2.699055331,0.944669366,0,8.569500675,0,0,3.036437247,1.484480432,0.539811066,0.269905533,3.576248313,0,2.496626181,0.337381916,0,0,0
Salisi Besar,SBRN1,3,0,0,2.195945946,2.533783784,2.956081081,74.32432432,0.844594595,4.222972973,0,6.672297297,0,0,2.027027027,0.675675676,0.929054054,1.351351351,0,0,0.422297297,0,0,0,0
Salisi Besar,SBRN1,4,0,0,0,0,27.26537217,55.01618123,3.640776699,0.889967638,0,6.067961165,0,1.779935275,0,0.647249191,0,1.537216828,0.404530744,0,1.213592233,0.809061489,0,0,0
Salisi Besar,SBRN2,1,0,0,0,0,0.74937552,81.59866778,1.665278934,0.166527893,0,8.576186511,3.330557868,0,0.666111574,0,1.665278934,1.165695254,0,0,0,0,0,0,0
Salisi Besar,SBRN2,2,0,0,0,0,9.75422427,69.12442396,0,0,1.075268817,7.910906298,8.986175115,0,1.382488479,0,1.305683564,0,0,0,0,0,0,0,0
Salisi Besar,SBRN2,3,0,0,0,0,2.465078061,75.18488085,6.984387839,0,0.164338537,8.216926869,1.88989318,0,1.479046836,0,2.958093673,0.575184881,0,0,0,0,0,0,0
Salisi Besar,SBRN2,4,0,0,0,0,5.300632911,81.09177215,0,0,0.712025316,7.674050633,1.977848101,0.632911392,0,0,0.237341772,1.186708861,0,0,0,0,0,0,0
Salisi Besar,SBRN3,1,0,0,0,0,1.565074135,60.13179572,20.59308072,0,0.658978583,12.9324547,0.329489292,1.317957166,0.906095552,0,0.906095552,0.411861614,0,0,0,0,0,0,0
Salisi Besar,SBRN3,2,0,0,0,0,9.222133119,77.38572574,0,0,0,5.854049719,0.561347233,2.726543705,3.528468324,0,0.721732157,0,0,0,0,0,0,0,0
Salisi Besar,SBRN3,3,0,0,0,0,15.1208106,66.25097428,1.558846454,0,1.948558067,8.963367108,1.792673422,0,0.701480904,0,0,0,1.16913484,0,0.935307872,0.311769291,0,0,0
Salisi Besar,SBRN3,4,0,0,0,0,8.967173739,68.85508407,4.403522818,0,0.320256205,12.57005604,3.682946357,0,0,0,0.160128102,0.720576461,0.320256205,0,0,0,0,0,0
Salisi Besar,SBRK,1,1,0,0,0,13.77777778,60.37037037,0,0,0.37037037,5.62962963,1.481481481,3.407407407,5.925925926,0,0,0.444444444,6.518518519,0,0.814814815,1.259259259,0,0,0
Salisi Besar,SBRK,2,1,0,0,0,3.813833226,47.83451842,12.92824822,1.939237233,0,10.27795734,2.585649644,4.137039431,9.114414997,0,0,0.323206206,0,0,3.943115708,0,0,0,0
Salisi Besar,SBRK,3,1,0,0,0,14.4469526,56.65914221,1.504890895,0,0,6.320541761,1.881113619,0,4.665161776,0,0.902934537,0.978179082,1.805869074,0,1.956358164,0,0,0,0
Salisi Besar,SBRK,4,1,0,0,0,8.249496982,54.99664655,10.06036217,0,2.816901408,12.34071093,1.073105298,3.286384977,5.83501006,0,1.006036217,0.335345406,0,0,0,0,0,0,0
Salisi Besar,SBRF,1,1,0,0,0,8.854532677,57.62473647,4.216444132,1.124385102,0,11.94659171,2.248770204,2.529866479,3.654251581,2.178496135,0.491918482,0,0.351370344,0,0.702740689,3.654251581,0,0.421644413,0
Salisi Besar,SBRF,2,1,0,0.729394602,0,8.533916849,64.91611962,2.188183807,0,3.06345733,7.002188184,0,1.239970824,1.531728665,0.364697301,0,0,2.479941648,0.583515682,5.105762217,0,0,0,0.583515682
Salisi Besar,SBRF,3,1,0,0,0,18.11242193,51.00624566,2.081887578,0.346981263,3.955586398,6.384455239,0,1.318528799,3.261623872,0,0,2.081887578,1.804302568,0.27758501,2.637057599,0,0,0,1.110340042
Salisi Besar,SBRF,4,1,0,4.096045198,0,9.392655367,54.73163842,2.471751412,0,6.285310734,5.437853107,0,3.813559322,2.401129944,0,1.836158192,0,3.601694915,0,4.731638418,0,0,0,0
Salisi Besar,SBRE,1,1,0,0,0,10.13094418,55.13439008,3.101309442,0,1.516195727,6.478290834,3.790489318,3.72157133,2.618883529,2.687801516,0,0.482425913,3.859407305,0,2.067539628,4.410751206,0,0,0
Salisi Besar,SBRE,2,1,0,0,0,10.17811705,48.02798982,1.272264631,0,0,7.251908397,1.208651399,0.82697201,6.743002545,2.926208651,0,6.997455471,7.188295165,0,1.526717557,0,0,2.353689567,0.699745547
Salisi Besar,SBRE,3,1,0,0,0.270453009,18.45841785,49.01960784,6.085192698,0,0,8.992562542,2.839756592,2.974983097,0.473292765,0,0.473292765,1.690331305,5.341446924,0,1.014198783,0,0,0.338066261,0
Salisi Besar,SBRE,4,1,0,1.20240481,0,3.607214429,65.46426186,1.336005344,0,0.935203741,9.752839011,1.803607214,10.88844355,4.074816299,0.400801603,0,4.44E-16,0,0,0,0,0,0,0
Salisi Besar,SBRD,1,2,0,0,0,4.934210526,59.86842105,1.973684211,0,2.368421053,14.21052632,2.236842105,0.460526316,9.473684211,0,0,0.921052632,0.789473684,0,2.763157895,0,0,0,0
Salisi Besar,SBRD,2,2,0,0,0,10.08254717,42.45283019,4.716981132,0,4.363207547,11.37971698,0,0,19.51650943,0,0.471698113,0,0,0,5.188679245,0.766509434,0,0,0
Salisi Besar,SBRD,3,2,0,1.775568182,0,5.184659091,63.21022727,2.130681818,0,1.420454545,10.29829545,2.627840909,3.125,4.545454545,0,4.048295455,0,0.639204545,0,0.710227273,0,0,0,0
Salisi Besar,SBRD,4,2,0,0,0,2.320954907,61.67108753,4.641909814,0,0,12.66578249,5.835543767,0,12.00265252,0,0,0.663129973,0.198938992,0,0,0,0,0,0
Salisi Besar,SBRC2,1,2,0,0,1.023890785,2.184300341,55.63139932,9.897610922,0.614334471,0,18.15699659,0,1.56996587,6.962457338,0,2.320819113,0.819112628,0.4778157,0,0.341296928,0,0,0,0
Salisi Besar,SBRC2,2,2,0,0,0.542593597,10.14650027,19.53336951,32.01302225,2.550189908,1.085187195,15.13836137,4.286489419,1.736299512,5.154639175,2.278893109,0,0.705371677,0.379815518,0,1.410743353,0,0,0.325556158,0
Salisi Besar,SBRC2,3,2,0,0,0,5.329153605,55.17241379,2.507836991,0,0,17.93103448,1.065830721,4.639498433,9.153605016,0.250783699,0,1.28E-15,1.191222571,0,0,0,0,0,0
Salisi Besar,SBRC2,4,2,0,0,0,8.009858287,41.65126309,6.161429452,0,1.91004313,15.46518792,6.284658041,2.341343192,7.763401109,0.369685767,0.800985829,0,4.066543438,0,2.957486137,0,0,0,0
Salisi Besar,SBRC,1,2,0,0,0,10.97161572,46.28820961,0.545851528,0.38209607,0.982532751,10.86244541,0,6.222707424,15.50218341,0,2.347161572,0,1.14628821,0,2.510917031,2.237991266,0,0,0
Salisi Besar,SBRC,2,2,0,0,2.473716759,13.29622758,36.4873222,1.23685838,0.927643785,0,8.596165739,0,0,12.43042672,0.742115028,1.113172542,0,9.523809524,0,9.894867038,0,0,0,0
Salisi Besar,SBRC,3,2,0,0,0,7.792207792,38.96103896,2.823263693,0,0,14.79390175,4.912478826,2.879728967,12.19649915,1.185770751,2.710333145,0,1.976284585,0,0,0,0,0,0
Salisi Besar,SBRC,4,2,0,0,0,7.781895183,34.4097406,8.999470619,0,0,14.34621493,2.117522499,8.893594494,15.82848068,0,4.340921122,0,2.964531498,0,0,0.317628375,0,0,0
Salisi Kecil,SKR,1,4,0,0,0,30.63115229,23.5089751,2.895193978,0.173711639,1.33178923,13.20208454,0,3.184713376,17.31325999,3.99536769,0,0,2.142443544,0,0.636942675,8.280254777,0,1.158077591,2.895193978
Salisi Kecil,SKR,2,4,1.001177856,0,0,19.84687868,27.44405183,2.591283863,0.412249706,0.176678445,23.02709069,0.588928151,5.594817432,13.19199058,0.942285041,0,0.647820966,4.770318021,0,3.003533569,0.530035336,0,0,0
Salisi Kecil,SKR,3,4,0,0,0,20.90784044,11.14167813,0,0,1.856946355,33.83768913,5.98349381,5.22696011,8.665749656,7.49656121,0,0,0.962861073,0,0,0.412654746,0,1.5130674,3.094910591
Salisi Kecil,SKR,4,4,1.307189542,0,0,38.30065359,9.869281046,0,0.326797386,1.437908497,15.03267974,0,11.76470588,13.00653595,0.653594771,0,1.045751634,2.614379085,2.549019608,3.267973856,0,0,0,3.39869281
Salisi Besar,SBRA,1,4,0.772200772,0.882515168,0,18.14671815,24.82073911,5.791505792,0,2.592388307,11.1969112,4.081632653,1.489244346,3.254274683,0.165471594,0.330943188,0.937672366,9.045780474,0.330943188,10.20408163,4.467733039,0,0,0.330943188
Salisi Besar,SBRA,2,4,1.728110599,0,0,13.07603687,26.03686636,9.619815668,0.806451613,12.38479263,8.870967742,0,3.513824885,6.739631336,0,1.843317972,0,4.377880184,0,7.258064516,0.576036866,0,0,0
Salisi Besar,SBRA,3,4,0.978698906,1.439263097,0,6.563039724,34.83016695,1.727115717,1.03626943,4.375359816,6.332757628,7.023603915,8.981001727,12.08981002,0,1.381692573,5.46919977,2.533103051,0,3.454231434,0,0,0.345423143,0
Salisi Besar,SBRA,4,4,0.508130081,1.829268293,0.609756098,4.06504065,41.66666667,1.524390244,0.254065041,0,6.910569106,0,33.48577236,7.723577236,0,0,0,0.863821138,0,0.254065041,0,0,0,0
Science blocks,SCR3,1,4,10.47737136,0,0,27.21636702,2.479851209,0,0.619962802,0,27.03037818,10.9733416,5.269683819,0,4.835709857,3.099814011,2.045877247,3.719776813,0,0,0,0,0,2.231866088
Science blocks,SCR3,2,4,9.856519027,0,0.311915159,32.50155958,3.555832813,0.623830318,0,0,31.19151591,0,3.43106675,0,2.495321273,4.366812227,0.810979414,0.68621335,4.865876482,1.809107923,0,0,0,6.550218341
Science blocks,SCR3,3,4,11.88550093,0,0,35.46981954,4.729309272,1.929060361,0.311138768,0,28.31362788,2.551337897,0.87118855,0.746733043,0.435594275,6.78282514,2.240199129,0.560049782,1.057871811,0.248911014,0,0,0.87118855,1.306782825
Science blocks,SCR3,4,4,13.37099812,0,0,17.13747646,0.941619586,0,3.201506591,0,39.04582549,0,3.075957313,4.017576899,8.913998745,1.443816698,6.403013183,0,0,0,0,0,0.62774639,1.255492781
Salisi Kecil,SKH,1,healthy,0.421940928,5.063291139,0,22.1217601,14.04460518,1.567209162,2.230259192,0,11.87462327,3.315250151,0,0,5.84689572,0,0.783604581,6.690777577,0,3.013863773,6.811332128,0.482218204,8.921036769,6.811332128
Salisi Kecil,SKH,2,healthy,5.988771054,0,0,21.64691204,1.621958827,0,2.121023082,0,22.95695571,0,0,0,2.183406114,0.998128509,2.370555209,4.928259513,0,0,1.996257018,0,8.608858391,22.20835933
Salisi Kecil,SKH,3,healthy,2.729340409,0,0,15.08718726,3.639120546,0,2.653525398,0,30.62926459,0,0,1.592115239,0,9.704321456,7.808946171,1.061410159,0,2.501895375,0,0,12.73692191,7.505686126
Salisi Kecil,SKH,4,healthy,6.436314363,0,0.474254743,14.70189702,0,0,2.16802168,0,25.74525745,1.219512195,0.81300813,0,6.300813008,0,24.11924119,4.403794038,0,4.539295393,0.745257453,0,2.574525745,4.403794038
Gusung Bontosua,GBH1,1,healthy,1.642710472,0,1.232032854,28.13141684,22.45037645,0,1.437371663,0,20.73921971,14.64750171,2.464065708,0,6.023271732,0.889801506,0,0,0,0,2.12183436,0,1.368925394,5.065023956
Gusung Bontosua,GBH1,2,healthy,12.86072773,0,0,9.096612296,2.69761606,0,0.752823087,0,41.65621079,8.030112923,0,0,9.033877039,0,0,0,7.779171895,1.254705144,0.878293601,0,3.952321205,9.786700125
Gusung Bontosua,GBH1,3,healthy,4.270051933,0,0,42.2965955,15.92613964,1.384881708,2.538949798,0,22.67743797,9.23254472,0,0,3.693017888,0,0,1.78880554,1.442585113,3.231390652,1.384881708,0,0.346220427,1.442585113
Gusung Bontosua,GBH1,4,healthy,1.74717369,0.924974306,0.513874615,27.95477903,3.031860226,1.336073998,4.624871531,0,3.18602261,0.462487153,2.004110997,0.71942446,2.46659815,0,0,9.044193217,21.32579651,10.48304214,0,0.616649538,0,21.32579651
Science blocks,SCH3,1,healthy,9.967672414,0,0,23.54525862,3.07112069,0,0,0,17.34913793,11.90732759,1.670258621,0,2.262931034,3.825431034,0,4.63362069,11.74568966,7.004310345,2.693965517,0,0.323275862,11.74568966
Science blocks,SCH3,2,healthy,6.222418358,2.074139453,0,21.75639894,1.58870256,5.472197705,1.147396293,0,4.810238305,0,0.6619594,0,1.279788173,4.633715799,0,7.325684025,27.05207414,7.325684025,0,0,0,31.37687555
Science blocks,SCH3,3,healthy,10.73336571,0,0,19.18406994,1.45701797,0.971345313,1.214181642,0,8.839242351,3.448275862,0,1.845556095,4.128217581,2.671199611,0,5.633802817,25.78921807,7.090820787,0.971345313,0,0.242836328,25.78921807
Science blocks,SCH3,4,healthy,6.274256145,0,0,38.55109961,3.557567917,0.970245796,0.64683053,0,33.0530401,1.617076326,0,0,3.816300129,0,0,0.905562743,7.373868047,1.034928849,0.388098318,0,0.323415265,8.279430789
